index,name,price,Promotion Price,Available
76,Bakers Original Romany Creams Biscuits 200g,R36.99,No promotion available,True
77,Knorr Beef & Onion Thickening Soup 50g,R8.99,No promotion available,True
78,Cadbury Dairy Milk Whole Nut Slab 80g,R23.99,"Buy Any 2, Save 20% (Smart Price)",True
79,Dettol Eventone Pomegranate Hygiene Soap 175g,R18.99,No promotion available,True
80,Domestos Lavender Multipurpose Stain Removal Thick Bleach Cleaner 750ml,R34.99,Smart Price: R28.99,True
81,Simba Potato Chips Salt & Vinegar 120g,R19.99,No promotion available,True
82,Nestle Hot Chocolate 500g,R99.99,No promotion available,True
83,Cadbury Lunch Bar 50g,R15.99,Buy Any 2 For R24.00 (Smart Price),True
84,Dinu Mega Roller Towel 2 Pack,R59.99,No promotion available,True
85,No Name Tuna Shredded in Oil 170g,R21.99,Buy Any 2 For R38.00 (Smart Price),True
86,Cadbury Crunchie Chocolate Bar Large,R15.99,Buy Any 2 For R24.00 (Smart Price),True
87,Mrs H.S.Ball's Original Chutney 470g,R42.99,No promotion available,True
88,Simba Potato Chips Mrs Balls Chutney 120g,R19.99,No promotion available,True
89,Domestos Summer Multipurpose Stain Removal Thick Bleach Cleaner 750ml,R34.99,Smart Price: R28.99,True
90,PnP 2 Ply Toilet Tissue Paper 9 Pack,R77.99,No promotion available,True
91,Rainbow Original Chicken Viennas 1kg,R119.99,No promotion available,True
92,Simba Ghost Pops 100g,R14.99,No promotion available,True
93,First Choice Salted Butter 500g,R79.99,No promotion available,True
94,Koo Creamstyle Sweetcorn 415g,R23.99,No promotion available,True
95,Lux Soft Caress Cleansing Bar Soap 175g,R17.99,Buy Any 2 For R24.00 (Smart Price),True
96,Simba Potato Chips Creamy Cheddar 120g,R19.99,No promotion available,True
97,Beigel & Beigel Break Mix 500g,R25.00,No promotion available,True
98,Knorr Thick White Onion Thickening Soup 50g,R8.99,No promotion available,True
99,Knorr Minestrone Thickening Soup 50g,R8.99,No promotion available,True
100,Doritod Sweet Chilli Pepper 145g,R22.99,Buy Any 2 For R37.00 (Smart Price),True
101,Fatti's & Moni's Macaroni 500g,R18.99,No promotion available,True
102,Handy Andy Lemon Multipurpose Cleaning Cream 1.5l,R59.99,No promotion available,True
103,Brookes Oros Naartjie Squash 2l,R44.99,Buy Any 2 For R70.00 (Smart Price),True
104,Jacobs Kronung Instant Coffee 230g,R174.99,No promotion available,True
105,Fatti's & Moni's Pasta Shells 500g,R26.99,No promotion available,True
106,Knorr Rich Oxtail Thickening Soup 50g,R8.99,No promotion available,True
107,Mr Min Multi Surface Polish Regular 300ml,R51.99,No promotion available,True
108,Bokomo Weet-Bix 450g,R36.99,Buy 3 For R80.00 (Smart Price),True
109,Cadbury 5 Star Chocolate Bar 48g,R15.99,Buy Any 2 For R24.00 (Smart Price),True
110,Jacobs Kronung Gold Instant Coffee 200g,R174.99,No promotion available,True
111,Huletts White Sugar 2.5kg,R54.99,No promotion available,True
112,Beigel & Beigel Traditional Pretzels 200g,R15.00,No promotion available,True
113,Nescafe Classic Pouch 230g,R124.99,Smart Price: R109.99,True
114,PnP All Purpose Potatoes 2kg,R49.99,No promotion available,True
115,Black Cat Crunchy Peanut Butter 400g,R51.99,Smart Price: R38.99,True
116,Coca-Cola Soft Drink 1.5L,R19.99,No promotion available,True
117,Flora Light 40% Fat Spread 1kg,R74.99,Smart Price: R59.99,True
118,Baby Soft White 2 Ply Toilet Paper 18 Pack,R169.99,No promotion available,True
119,Knorr Cream of Chicken Thickening Soup 50g,R8.99,No promotion available,True
120,Colgate Triple Action Multibenefit Toothpaste 100ml,R23.99,No promotion available,True
121,Bokomo Traditional Oats 1kg,R41.99,No promotion available,True
122,Kellogg's All Bran Flakes 750g,R77.99,No promotion available,True
123,Knorr Curry Vegetable Thickening Soup 50g,R8.99,No promotion available,True
124,Domestos Ocean Rim Block Stain Removal Toilet Cleaner 55g,R32.99,No promotion available,True
125,Lucky Star Pilchards in Tomato Sauce 155g,R17.99,No promotion available,True
126,Sprite Low Kilojoule Lemon Lime 2L,R23.99,No promotion available,True
127,Bakers Biscuits Choc-Kits 200g,R36.99,No promotion available,True
128,Cadbury Slab Dairy Milk 150g,R44.99,No promotion available,True
129,Kitten Soft 2 Ply 350 Sheets 18 Pack,R129.99,No promotion available,True
130,Mccain Mixed Vegetables 1kg,R54.02,No promotion available,True
131,Liqui-Fruit Cranberry Cooler Juice 1L,R36.99,Smart Price: R26.99,True
132,Sunlight Tropical Sensations 2in1 Auto Washing Powder Detergent 2kg,R79.99,Smart Price: R64.99,True
133,PnP Medium Fat Maas 2kg,R36.99,No promotion available,True
134,Rhodes Butter Beans 410g,R26.99,No promotion available,True
135,Lucky Star Pilchards in Tomato Sauce 400g,R29.99,No promotion available,True
136,Cadbury Dairy Milk Choc Slab 80g,R23.99,"Buy Any 2, Save 20% (Smart Price)",True
137,PnP Still Spring Water 5L,R22.99,No promotion available,True
138,Liqui-Fruit Clear Apple Fruit Juice 1L,R36.99,Smart Price: R26.99,True
139,Nestle Milo Malt Powder Drink 500g,R87.99,No promotion available,True
140,Knorr Oxtail & Vegetable Thickening Soup 50g,R8.99,No promotion available,True
141,Knorr Mild Breyani Rice Mate 275g,R39.99,No promotion available,True
142,Rhodes Baked Beans in Tomato Sauce 410g,R13.99,No promotion available,True
143,Fleures Pure Honey Squeeze Bottle 500g,R69.99,No promotion available,True
