index,name,price,promotion_price,retailer,image_url
4265,Shield Women Dry Sure Antiperspirant Roll On Deodorant 50ml,R27.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/he1/h07/11043365257246/silo-product-image-v2-08Dec2022-180129-60097989-Straight_on-80688-3824_300Wx300H
4266,Buffet Green Pitted Olives 200g,R30.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hd1/h81/10773301231646/silo-product-image-v2-15Mar2022-180823-6001283120021-Straight_on-8513-23235_300Wx300H
4267,PnP Sliced Sandwich Ham 250g,R63.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h6e/hd6/10770906644510/silo-product-image-v2-15Mar2022-180217-6001007058517-Straight_on-7491-18229_300Wx300H
4268,Belgravia Dry Lemon NRB 6 x 275ml,R119.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h1a/ha1/10983924531230/silo-product-image-v2-19Oct2022-180136-6009694723367-Straight_on-62816-474_300Wx300H
4269,Sunlight Gentle Baby Hypoallergenic Laundry Fabric Softener 2l,R49.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h2d/h4c/10868130709534/silo-product-image-v2-08Jun2022-180159-6001085032188-Straight_on-40721-37034_300Wx300H
4270,PnP Dry Red 5L,R180.00,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h25/hdf/11125314846750/silo-product-image-v2-16Mar2023-184236-6001007256548-Straight_on-103363-9542_300Wx300H
4271,Jumpin Jack White Cheddar Popcorn 14g x 4s,R19.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hf2/hb1/11222995730462/silo-product-image-v2-15Jul2023-180114-6001757000170-Straight_on-161441-401_300Wx300H
4272,Liqui-Fruit Long Life Mango Orange 300ml x 6,R104.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hb6/h97/11228237660190/silo-product-image-v2-25Jul2023-180122-6001240239476-Straight_on-162094-356_300Wx300H
4273,Canola Lite 50% Fat Spread 1kg,R49.99,Buy Any 2 For R80.00,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h8f/h46/11120018554910/silo-product-image-v2-16Mar2023-180554-6001114002731-Straight_on-114097-940_300Wx300H
4274,Black Cat Smooth Peanut Butter No Sugar & Salt 400g,R49.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h69/h4b/11479948197918/silo-product-image-v2-07Sep2024-180034-6009522300647-Straight_on-247084-2072_300Wx300H
4275,Futurelife Crunch Chocolate Cereal 425g,R57.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hd9/hbd/10965433679902/silo-product-image-v2-30Sep2022-180111-6009801741345-Straight_on-59066-3226_300Wx300H
4276,Pledge Wood Polish Lemon 300ml,R42.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h83/h7f/11240808022046/silo-product-image-v2-15Aug2023-180311-6001298001384-Straight_on-164783-183_300Wx300H
4277,Bakers Topper Choc Mint 125g,R14.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/ha0/hea/11044334665758/silo-product-image-v2-09Dec2022-180119-6009704170136-Straight_on-81616-4264_300Wx300H
4278,Royco Soup Brown Onion 45g,R7.49,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h59/ha1/10953419751454/silo-product-image-v2-16Sep2022-180121-6009682952267-Straight_on-57296-1042_300Wx300H
4279,Garbie Super Saver Black Refuse Bags 750mm x 950mm 10 Pack,R27.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hf7/hab/11120864034846/silo-product-image-v2-16Mar2023-181133-6001293001303-Straight_on-123736-2299_300Wx300H
4280,Protex Deep Clean Tissue Oil Antigerm Bath Soap 200g,R14.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/ha3/h5e/11447624007710/silo-product-image-v2-15Jul2024-131646-8718951347786-Straight_on-232276-2006_300Wx300H
4281,PnP Mini Choc Chip Biscuits 30g,R7.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hb8/h84/11398446415902/silo-product-image-v2-09Apr2024-170813-6001000528192-Straight_on-38332-873_300Wx300H
4282,PnP Italian Leaf Salad 120g,R23.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h69/hd3/10627737452574/silo-product-image-v2-14Dec2021-180115-6001007284282-front-2830965-733_300Wx300H
4283,Bakers Mini Tennis Multi Pack 200g,R42.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hac/ha0/10603547525150/silo-product-image-v2-22Nov2021-134534-6009704170679-front-1624032-4858_300Wx300H
4284,PnP Garlic Cloves,R21.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hf5/hc2/10898448580638/silo-product-image-v2-12Jul2022-180153-6001007068097-Straight_on-48751-6434_300Wx300H
4285,Cape Cookies Black Forest 450g,R65.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hda/h1f/11120027598878/silo-product-image-v2-16Mar2023-180558-6009802575932-Straight_on-114115-946_300Wx300H
4286,Freshpak Rooibos Tea Bags 20 Pack,R27.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hea/hdb/11186451546142/silo-product-image-v2-01Jun2023-181350-6009702443744-Straight_on-136284-2563_300Wx300H
4287,PnP Long Life Apricot Juice Prisma Pack 1l,R29.99,Buy Any 2 For R49.00,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h7e/he8/11010942763038/silo-product-image-v2-10Nov2022-180120-6009219011375-Straight_on-71740-6713_300Wx300H
4288,Nola Cool & Creamy Sandwich Spread 270GR,R36.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h64/hd6/11375815032862/silo-product-image-v2-01Mar2024-180401-6001069019990-Straight_on-208859-3436_300Wx300H
4289,Dairymaid Country Fresh Vanilla Ice Cream 5l,R173.49,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h98/h1f/11510795272222/silo-product-image-v2-29Oct2024-180111-6009198000599-Straight_on-261024-1423_300Wx300H
4290,PnP Slicing Tomatoes 4 Pack,R24.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/ha2/h24/11398696435742/silo-product-image-v2-09Apr2024-170906-6001007448172-Straight_on-37941-1269_300Wx300H
4291,Protea Dry Rose 750ml,R90.00,"Buy Any 6, Get Cheapest Free (Smart Price)",Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hb5/h6e/10989529956382/silo-product-image-v2-21Oct2022-180244-6009803752028-Straight_on-66500-1440_300Wx300H
4292,Savanna Dry NRB 6 x 500ml,R164.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h14/h95/10989611778078/silo-product-image-v2-21Oct2022-180252-6001108070227-Straight_on-66969-1604_300Wx300H
4293,Fanta Orange 300ml x 6,R81.49,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hbd/hc4/11483476131870/silo-product-image-v2-12Sep2024-180052-5449000257017-Straight_on-247970-78_300Wx300H
4294,PnP Goulash 500g,R69.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hf3/h05/11522263056414/silo-product-image-v2-16Nov2024-180138-2006384000000-Straight_on-267347-1940_300Wx300H
4295,Ouma Muesli Rusks 1kg,R107.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hbe/ha5/11125570732062/silo-product-image-v2-16Mar2023-184411-6001069600877-Angle_A-105081-9952_300Wx300H
4296,PnP A4 Multi Purpose White Office Paper 500 Sheets,R84.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hb2/hb0/10932005830686/silo-product-image-v2-26Aug2022-180117-6001007240271-Straight_on-53062-669_300Wx300H
4297,PnP Long Life Cranberry Juice 200ml x 6,R54.99,Buy Any 2 For R88.00,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h71/hba/11126041608222/silo-product-image-v2-16Mar2023-184702-16009219011471-Straight_on-107852-10689_300Wx300H
4298,Ace Instant Banana Porridge 1kg,R25.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/haf/hfb/10983823212574/silo-product-image-v2-19Oct2022-180129-6001256003344-Straight_on-62664-282_300Wx300H
4299,PnP Sour Cream 250ml,R29.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h8b/hae/10939186479134/silo-product-image-v2-03Mar2022-122351-6001007091750-Straight_on-7493-3809_300Wx300H
4300,Diddle Daddle Glazed Caramel Cluster Popcorn 150g,R27.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h0e/h46/11120442277918/silo-product-image-v2-16Mar2023-180854-6005606000076-Straight_on-115173-1619_300Wx300H
4301,PnP Cottage Pie 320g,R64.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/had/h6f/11036653781022/silo-product-image-v2-02Dec2022-180138-6001007178321-Straight_on-77797-775_300Wx300H
4302,Fitch & Leedes Indian Sugar Free Tonic 1L,R19.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h7f/h95/10601059647518/silo-product-image-v2-22Nov2021-133257-6009660904073-front-1806308-1120_300Wx300H
4303,Robertsons Paprika Spice Refill 55g,R19.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hf2/h0a/10869319204894/silo-product-image-v2-08Jun2022-180356-6001038284503-Straight_on-40596-39625_300Wx300H
4304,Cerebos Pepper Grinder 50g,R54.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hd5/h50/11120084025374/silo-product-image-v2-16Mar2023-180634-6001021316839-Straight_on-114289-1044_300Wx300H
4305,Addis Black Rough Tote 110L,R229.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/he4/hf2/11124644282398/silo-product-image-v2-16Mar2023-183812-6001246774940-Straight_on-123532-8446_300Wx300H
4306,Real Home Glass Tumbler Hi Ball,R11.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hbe/h5d/11209647783966/silo-product-image-v2-24Jun2023-180120-6009710270615-Straight_on-157231-3064_300Wx300H
4307,Safari Mango Fruit Roll 80g,R20.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hd7/hd5/11478616932382/silo-product-image-v2-05Sep2024-180057-6001020010493-Straight_on-246530-1478_300Wx300H
4308,Purity Jar Yoghurt & Mango 200ml from 8 Months,R19.99,Buy Any 3 For R46.00 (Smart Price),Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h35/hc7/11507767771166/silo-product-image-v2-23Oct2024-180130-6001107101243-Straight_on-259688-171_300Wx300H
4309,Purity Jar Macaroni & Beef 125ml from 7 Months,R19.99,Buy Any 3 For R46.00 (Smart Price),Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/he9/hf7/11509331197982/silo-product-image-v2-26Oct2024-180108-6001107160189-Straight_on-260430-898_300Wx300H
4310,Serena Capers 100g,R29.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hbb/h33/10500174938142/silo-product-image-v2-15Oct2021-180654-6004791001455-front-2772075-4941_300Wx300H
4311,Danone Nutriday Full Cream Fruit Cocktail Yoghurt 900g,R41.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hfb/h9b/11198478319646/silo-product-image-v2-10Jun2023-180054-6009708462138-Straight_on-152311-1694_300Wx300H
4312,Liqui-Fruit Juice Clear Apple 2L,R59.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h28/h39/11334940786718/silo-product-image-v2-21Dec2023-180053-6001240226100-Straight_on-197913-7632_300Wx300H
4313,Airwick Life Scent Turquoise Oasis 250ml,R99.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h04/h64/10771670007838/silo-product-image-v2-15Mar2022-180339-6001106128326-Straight_on-13580-19766_300Wx300H
4314,Sunlight Lively Lemon Cleansing Face & Body Bar Soap 175g,R13.49,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hdb/hc4/10869528985630/silo-product-image-v2-08Jun2022-180414-6001087372442-Straight_on-42764-40048_300Wx300H
4315,Omo Active Multipurpose Stain Removal Bleach Cleaner 750ml,R30.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h58/hcf/10869207466014/silo-product-image-v2-08Jun2022-180345-6001085013163-Straight_on-40691-39375_300Wx300H
4316,PnP Cotton Twine Ball 50g,R20.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h8f/hff/10989764476958/silo-product-image-v2-21Oct2022-180306-6001007197537-Straight_on-64874-1971_300Wx300H
4317,PnP Tuna Chunks in Oil 170g,R27.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hb0/h74/11125168341022/silo-product-image-v2-16Mar2023-184143-60017109-Straight_on-100160-9299_300Wx300H
4318,Royco Soup Cream of Chicken 50g,R7.49,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h03/h12/11126626254878/silo-product-image-v2-16Mar2023-185035-6009682955527-Straight_on-108582-11621_300Wx300H
4319,Willards Big Korn Bite Tomato Chips 50g,R10.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h14/h3d/11127557947422/silo-product-image-v2-16Mar2023-185613-6001032050517-Straight_on-125914-13113_300Wx300H
4320,Krone Night Nectar Rose Demi-Sec 750ml,R205.00,"Buy Any 6, Get Cheapest Free (Smart Price)",Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/he8/hde/10989418512414/silo-product-image-v2-21Oct2022-180229-6002039010979-Straight_on-66337-1197_300Wx300H
4321,Clausthaler Alcohol Free Beer NRB 4 x 330ml,R99.00,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h7f/hee/10570960371742/silo-product-image-v2-03Nov2021-180221-4053400001012-front-2806129-59411_300Wx300H
4322,Heineken Lager 0.0% Non-Alcoholic 24 x 330ml,R379.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h75/h5f/11413981167646/silo-product-image-v2-10May2024-180207-6009705711512-Straight_on-222358-538_300Wx300H
4323,Nestle Smarties 70g,R19.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h44/h1f/10868929724446/silo-product-image-v2-08Jun2022-180321-6001068691500-Straight_on-39920-38762_300Wx300H
4324,PnP Let's Cook Rosemary 20g,R14.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h95/h78/11304795209758/silo-product-image-v2-15Nov2023-180133-6001007302313-Straight_on-189944-9_300Wx300H
4325,Sunlight Summer Dew Laundry Fabric Softener 2l,R49.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h5d/hd7/10870227795998/silo-product-image-v2-08Jun2022-180528-6001085022103-Straight_on-40711-41603_300Wx300H
4326,B-Well Extra Virgin Olive Oil Canola Blend 1l,R79.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h24/hc5/11327339986974/silo-product-image-v2-08Dec2023-152815-6009644140268-Straight_on-193545-6059_300Wx300H
4327,Sprite Buddy Bottle 440ml,R13.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/h55/he3/11510763454494/silo-product-image-v2-29Oct2024-180104-5449000234643-Straight_on-260964-1378_300Wx300H
4328,Super M Medium Fat Strawberry Milk 300ml,R16.99,No promo,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hd1/h4d/11127139729438/silo-product-image-v2-16Mar2023-185343-6001299044519-Angle_A-105549-12449_300Wx300H
4329,Waggies Adult Beef Stew 8kg,R159.99,Buy Any 2 For R320.00,Pick n Pay,https://cdn-prd-02.pnp.co.za/sys-master/images/hd6/h6a/11187012534302/silo-product-image-v2-01Jun2023-181715-6009802638101-Straight_on-139177-3453_300Wx300H
